gameid,tourneyid,tie,winnerid,winnername,winnerscore,winneroldrating,winnernewrating,winnerpos,loserid,losername,loserscore,loseroldrating,losernewrating,loserpos,round,division,date,lexicon,year
451519,1590,0,38,Matt Laufer,0,1892,1877,5,608,Pam Grazette,0,1712,1692,14,1,1,1994-03-11,0,1994
451520,1590,0,38,Matt Laufer,0,1892,1877,5,82,Sally Ricketts,0,1390,1347,36,3,1,1994-03-11,0,1994
451521,1590,0,38,Matt Laufer,0,1892,1877,5,4001,James Guillot,0,1712,1700,22,5,1,1994-03-11,0,1994
451522,1590,0,38,Matt Laufer,0,1892,1877,5,5676,Rhoda Squires,0,1642,1591,29,8,1,1994-03-11,0,1994
451523,1590,0,38,Matt Laufer,0,1892,1877,5,4001,James Guillot,0,1712,1700,22,9,1,1994-03-11,0,1994
451524,1590,0,38,Matt Laufer,0,1892,1877,5,2472,Annette Tedesco,0,1639,1674,15,10,1,1994-03-11,0,1994
451525,1590,0,38,Matt Laufer,0,1892,1877,5,7461,Micheal Erde,0,1505,1614,16,11,1,1994-03-11,0,1994
451526,1590,0,38,Matt Laufer,0,1892,1877,5,92,Mark Berg,0,1670,1698,12,12,1,1994-03-11,0,1994
451527,1590,0,44,Paul Avrin,0,1803,1810,10,2162,Arline Silverman,0,1550,1534,26,2,1,1994-03-11,0,1994
451528,1590,0,44,Paul Avrin,0,1803,1810,10,6558,Lee Cooper,0,1449,1464,32,3,1,1994-03-11,0,1994
451529,1590,0,44,Paul Avrin,0,1803,1810,10,2931,Josh Silber,0,1633,1753,6,4,1,1994-03-11,0,1994
451530,1590,0,44,Paul Avrin,0,1803,1810,10,941,Louis Schecter,0,2028,2023,2,5,1,1994-03-11,0,1994
451531,1590,0,44,Paul Avrin,0,1803,1810,10,10779,John E Meyers,0,1717,1675,28,6,1,1994-03-11,0,1994
451532,1590,0,44,Paul Avrin,0,1803,1810,10,47,Joe Weinike,0,1954,1961,3,7,1,1994-03-11,0,1994
451533,1590,0,44,Paul Avrin,0,1803,1810,10,92,Mark Berg,0,1670,1698,12,9,1,1994-03-11,0,1994
451534,1590,0,47,Joe Weinike,0,1954,1961,3,10779,John E Meyers,0,1717,1675,28,1,1,1994-03-11,0,1994
451535,1590,0,47,Joe Weinike,0,1954,1961,3,1112,Mary Capalbi,0,1639,1641,13,2,1,1994-03-11,0,1994
451536,1590,0,47,Joe Weinike,0,1954,1961,3,206,Hilda Siegel,0,1402,1383,35,3,1,1994-03-11,0,1994
451537,1590,0,47,Joe Weinike,0,1954,1961,3,4001,James Guillot,0,1712,1700,22,4,1,1994-03-11,0,1994
451538,1590,0,47,Joe Weinike,0,1954,1961,3,2472,Annette Tedesco,0,1639,1674,15,5,1,1994-03-11,0,1994
451539,1590,0,47,Joe Weinike,0,1954,1961,3,38,Matt Laufer,0,1892,1877,5,6,1,1994-03-11,0,1994
451540,1590,0,47,Joe Weinike,0,1954,1961,3,92,Mark Berg,0,1670,1698,12,8,1,1994-03-11,0,1994
451541,1590,0,47,Joe Weinike,0,1954,1961,3,582,Rita Provost,0,1850,1884,1,10,1,1994-03-11,0,1994
451542,1590,0,47,Joe Weinike,0,1954,1961,3,54,Rose Kreiswirth,0,1842,1844,7,12,1,1994-03-11,0,1994
451543,1590,0,54,Rose Kreiswirth,0,1842,1844,7,134,Nancy Okolsky,0,1345,1375,33,1,1,1994-03-11,0,1994
451544,1590,0,54,Rose Kreiswirth,0,1842,1844,7,607,Lynne Mitchnick,0,1494,1547,8,2,1,1994-03-11,0,1994
451545,1590,0,54,Rose Kreiswirth,0,1842,1844,7,88,Phil Polsky,0,1680,1569,34,3,1,1994-03-11,0,1994
451546,1590,0,54,Rose Kreiswirth,0,1842,1844,7,7461,Micheal Erde,0,1505,1614,16,4,1,1994-03-11,0,1994
451547,1590,0,54,Rose Kreiswirth,0,1842,1844,7,7002,Mike Martin,0,1662,1603,25,5,1,1994-03-11,0,1994
451548,1590,0,54,Rose Kreiswirth,0,1842,1844,7,4476,Charlotte Tischler,0,1480,1525,19,6,1,1994-03-11,0,1994
451549,1590,0,54,Rose Kreiswirth,0,1842,1844,7,2931,Josh Silber,0,1633,1753,6,9,1,1994-03-11,0,1994
451550,1590,0,54,Rose Kreiswirth,0,1842,1844,7,2931,Josh Silber,0,1633,1753,6,11,1,1994-03-11,0,1994
451551,1590,0,58,Sal Piro,0,1592,1566,23,4435,Jerry Mory,0,1340,1357,30,1,1,1994-03-11,0,1994
451552,1590,0,58,Sal Piro,0,1592,1566,23,7431,John D Williams,0,1415,1411,31,4,1,1994-03-11,0,1994
451553,1590,0,58,Sal Piro,0,1592,1566,23,88,Phil Polsky,0,1680,1569,34,9,1,1994-03-11,0,1994
451554,1590,0,58,Sal Piro,0,1592,1566,23,88,Phil Polsky,0,1680,1569,34,11,1,1994-03-11,0,1994
451555,1590,0,58,Sal Piro,0,1592,1566,23,10779,John E Meyers,0,1717,1675,28,12,1,1994-03-11,0,1994
451556,1590,0,59,Marjorie Schoneboom,0,1880,1878,4,4001,James Guillot,0,1712,1700,22,1,1,1994-03-11,0,1994
451557,1590,0,59,Marjorie Schoneboom,0,1880,1878,4,58,Sal Piro,0,1592,1566,23,2,1,1994-03-11,0,1994
451558,1590,0,59,Marjorie Schoneboom,0,1880,1878,4,4435,Jerry Mory,0,1340,1357,30,3,1,1994-03-11,0,1994
451559,1590,0,59,Marjorie Schoneboom,0,1880,1878,4,3371,Wendy Littman,0,1664,1639,21,4,1,1994-03-11,0,1994
451560,1590,0,59,Marjorie Schoneboom,0,1880,1878,4,134,Nancy Okolsky,0,1345,1375,33,6,1,1994-03-11,0,1994
451561,1590,0,59,Marjorie Schoneboom,0,1880,1878,4,54,Rose Kreiswirth,0,1842,1844,7,8,1,1994-03-11,0,1994
451562,1590,0,59,Marjorie Schoneboom,0,1880,1878,4,44,Paul Avrin,0,1803,1810,10,10,1,1994-03-11,0,1994
451563,1590,0,59,Marjorie Schoneboom,0,1880,1878,4,242,Verna Richards Berg,0,1827,1827,9,12,1,1994-03-11,0,1994
451564,1590,0,82,Sally Ricketts,0,1390,1347,36,206,Hilda Siegel,0,1402,1383,35,10,1,1994-03-11,0,1994
451565,1590,0,85,Tom Kelly,0,1639,1620,18,629,Lois Kahan,0,1370,1411,27,2,1,1994-03-11,0,1994
451566,1590,0,85,Tom Kelly,0,1639,1620,18,82,Sally Ricketts,0,1390,1347,36,5,1,1994-03-11,0,1994
451567,1590,0,85,Tom Kelly,0,1639,1620,18,2162,Arline Silverman,0,1550,1534,26,6,1,1994-03-11,0,1994
451568,1590,0,85,Tom Kelly,0,1639,1620,18,7002,Mike Martin,0,1662,1603,25,8,1,1994-03-11,0,1994
451569,1590,0,85,Tom Kelly,0,1639,1620,18,629,Lois Kahan,0,1370,1411,27,9,1,1994-03-11,0,1994
451570,1590,0,85,Tom Kelly,0,1639,1620,18,1112,Mary Capalbi,0,1639,1641,13,10,1,1994-03-11,0,1994
451571,1590,0,88,Phil Polsky,0,1680,1569,34,2162,Arline Silverman,0,1550,1534,26,7,1,1994-03-11,0,1994
451572,1590,0,88,Phil Polsky,0,1680,1569,34,6558,Lee Cooper,0,1449,1464,32,8,1,1994-03-11,0,1994
451573,1590,0,88,Phil Polsky,0,1680,1569,34,4435,Jerry Mory,0,1340,1357,30,10,1,1994-03-11,0,1994
